TEAM,YEAR,ELO,VAL
ARI,2012,1466.913,961
ATL,2012,1573.966,933
BAL,2012,1604.306,1200
BUF,2012,1423.274,870
CAR,2012,1452.632,1100
CHI,2012,1504.815,1300
CIN,2012,1479.362,924
CLE,2012,1411.456,1000
DAL,2012,1490.087,2300
DEN,2012,1466.868,1200
DET,2012,1523.667,900
GB,2012,1640.631,1200
HOU,2012,1544.008,1500
IND,2012,1391.758,1200
JAX,2012,1424.321,840
KC,2012,1479.946,1000
LAC,2012,1562.775,949
LAR,2012,1346.6,875
MIA,2012,1478.422,1100
MIN,2012,1421.03,1000
NE,2012,1679.771,1800
NO,2012,1628.101,1000
NYG,2012,1608.966,1600
NYJ,2012,1511.807,1400
OAK,2012,1479.087,825
PHI,2012,1566.411,1300
PIT,2012,1554.666,1100
SEA,2012,1481.462,1100
SF,2012,1619.21,1200
TB,2012,1383.651,1100
TEN,2012,1494.424,1100
WSH,2012,1445.561,1700
ARI,2013,1411.08,1000
ATL,2013,1570.97,1100
BAL,2013,1601.508,1500
BUF,2013,1444.702,935
CAR,2013,1519.013,1300
CHI,2013,1532.011,1700
CIN,2013,1541.995,990
CLE,2013,1422.474,1100
DAL,2013,1487.509,3200
DEN,2013,1608.906,1500
DET,2013,1432.974,960
GB,2013,1589.702,1400
HOU,2013,1577.413,1900
IND,2013,1518.402,1400
JAX,2013,1348.879,965
KC,2013,1393.945,1100
LAC,2013,1490.732,995
LAR,2013,1464.154,930
MIA,2013,1528.544,1300
MIN,2013,1502.518,1200
NE,2013,1641.78,2600
NO,2013,1533.575,1100
NYG,2013,1548.787,2100
NYJ,2013,1431.781,1800
OAK,2013,1510.386,970
PHI,2013,1432.053,1800
PIT,2013,1521.347,1400
SEA,2013,1617.294,1300
SF,2013,1624.169,1600
TB,2013,1463.357,1200
TEN,2013,1477.122,1200
WSH,2013,1521.755,2400
